Timestamp,Почему вы решили искать работу за рубежом?,По каким критериям оцениваете предложения работы?,Насколько серьезно настроены на переезд?,На какой стадии ваши поиски?,Какие страны вы рассматриваете в первую очередь?,Куда точно НЕ хотели бы ехать?,Где вы живете сейчас?,Кем вы работаете?,Сколько вам лет?,Семейное положение
8/4/2016 13:46:09,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня",Твердо намерен уехать,Уже уехал,"Австралия, Нидерланды, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",(другая страна),Программист,23-24,Пара без детей
8/4/2016 13:46:22,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,"Получил оффер, собираю документы","Германия, США, (Западная Европа)","Азия, Прибалтика, (Готов ехать куда угодно, если остальные условия устраивают)",Минск,Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 13:46:47,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Германия, Нидерланды, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","(Готов ехать куда угодно, если остальные условия устраивают)",Львов,Программист,24-26,"Холост / не замужем, детей нет"
8/4/2016 13:47:38,Спокойная и безопасная жизнь для меня и семьи,"Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Нидерланды, (Западная Европа), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Азия,Киев,(Другое),29-32,Пара с детьми
8/4/2016 13:48:09,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы",Твердо намерен уехать,Прохожу интервью / жду оффер,"Германия, Польша, (Евросоюз в целом)","Азия, Канада, США",Киев,Программист,27-29,Пара с детьми
8/4/2016 13:48:49,Спокойная и безопасная жизнь для меня и семьи,"Страна, Количество денег на старте, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Нидерланды, (Евросоюз в целом)",Азия,Киев,(Другое),27-29,Пара без детей
8/4/2016 13:49:34,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"США, (Западная Европа), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),Тимлид или техлид,32 или больше,"Холост / не замужем, детей нет"
8/4/2016 13:50:19,Хочется чего-то нового и интересного,"Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Австралия, Канада, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Киев,Программист,27-29,Пара без детей
8/4/2016 13:50:19,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Нидерланды, (Западная Европа), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), (Готов ехать куда угодно, если остальные условия устраивают)",Санкт-Петербург,Программист,29-32,"Холост / не замужем, детей нет"
8/4/2016 13:51:44,Спокойная и безопасная жизнь для меня и семьи,"Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, Нидерланды, США",Азия,Харьков,Программист,26-27,"Холост / не замужем, детей нет"
8/4/2016 13:51:44,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы",Твердо намерен уехать,"Получил оффер, собираю документы",(Евросоюз в целом),"(Готов ехать куда угодно, если остальные условия устраивают)",Киев,(Другое),24-26,"Холост / не замужем, детей нет"
8/4/2016 13:52:31,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"США, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Великобритания, Прибалтика",Киев,(Другое),32 или больше,Пара с детьми
8/4/2016 13:52:39,Не вижу перспектив оставаться,"Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Прохожу интервью / жду оффер,"Канада, США, (Евросоюз в целом)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Львов,Дизайнер,27-29,Пара с детьми
8/4/2016 13:52:54,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Прохожу интервью / жду оффер,"Польша, (Западная Европа)","Австралия, Азия, Прибалтика",Киев,Тимлид или техлид,24-26,"Холост / не замужем, детей нет"
8/4/2016 13:53:43,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"Канада, Новая Зеландия",Азия,Киев,Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 13:53:51,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"(Евросоюз в целом), (Азия: Сингапур, Таиланд, Китай, и др.), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Великобритания, Восточная Европа (Польша, Болгария, Венгрия и др.)",Москва,Тимлид или техлид,32 или больше,Пара без детей
8/4/2016 13:53:52,Спокойная и безопасная жизнь для меня и семьи,"Страна, Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее","Готов ехать, если получу хорошее предложение",Прохожу интервью / жду оффер,"США, (Евросоюз в целом)","Великобритания, Прибалтика",Киев,Программист,24-26,Пара с детьми
8/4/2016 13:54:16,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Нидерланды, Новая Зеландия, Польша","Азия, Великобритания, Прибалтика",(другая страна),QA,32 или больше,Пара без детей
8/4/2016 13:54:42,Спокойная и безопасная жизнь для меня и семьи,"Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, Польша, США",Азия,Харьков,Программист,29-32,Пара с детьми
8/4/2016 13:54:51,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Германия, Новая Зеландия, (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",(другая страна),Тимлид или техлид,24-26,Пара с детьми
8/4/2016 13:57:01,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Новая Зеландия, (Евросоюз в целом)","Азия, Великобритания, Прибалтика",Киев,QA,24-26,"Холост / не замужем, детей нет"
8/4/2016 13:59:38,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи","Страна, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Австралия, Канада, США","(Готов ехать куда угодно, если остальные условия устраивают)",Киев,QA,26-27,Пара без детей
8/4/2016 13:59:47,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы",Твердо намерен уехать,Уже уехал,"Канада, США, (Евросоюз в целом)",Великобритания,(другая страна),Программист,26-27,Пара без детей
8/4/2016 14:00:07,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Возможность уехать побыстрее","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Великобритания, Канада, США",Азия,Киев,Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 14:00:34,Не вижу перспектив оставаться,"Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Австралия, Канада, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Украина (другой город),Менеджер,24-26,"Холост / не замужем, детей нет"
8/4/2016 14:01:06,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Великобритания, Германия, (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",Киев,Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 14:01:18,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Австралия, США","Азия, Прибалтика",Харьков,Тимлид или техлид,32 или больше,Пара с детьми
8/4/2016 14:01:40,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Германия, США, (Западная Европа)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Украина (другой город),Программист,27-29,Пара с детьми
8/4/2016 14:01:47,Хочется чего-то нового и интересного,"Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"Канада, (Западная Европа), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,меньше 23,"Холост / не замужем, детей нет"
8/4/2016 14:02:34,Не вижу перспектив оставаться,"Страна, Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Великобритания, Германия, Канада","Австралия, Азия, Прибалтика",РФ (другой город),Программист,27-29,Пара без детей
8/4/2016 14:02:44,Хочется чего-то нового и интересного,"Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Великобритания, Германия, (Западная Европа)",Азия,Киев,Менеджер,29-32,Пара с детьми
8/4/2016 14:03:21,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее",Твердо намерен уехать,Просматриваю вакансии,"Канада, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Киев,Программист,32 или больше,Пара с детьми
8/4/2016 14:04:12,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Германия, Нидерланды, (Евросоюз в целом)",Азия,Украина (другой город),Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 14:04:52,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,"Документы подал, сижу на чемоданах","Канада, (Евросоюз в целом), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),Программист,32 или больше,"Холост / не замужем, детей нет"
8/4/2016 14:05:18,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Новая Зеландия, (Азия: Сингапур, Таиланд, Китай, и др.)",,РФ (другой город),Программист,26-27,Пара без детей
8/4/2016 14:06:12,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"Австралия, Канада, (Евросоюз в целом)",Азия,Москва,Программист,23-24,"Холост / не замужем, детей нет"
8/4/2016 14:06:17,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Великобритания, США, (Евросоюз в целом)",,РФ (другой город),Программист,32 или больше,Пара без детей
8/4/2016 14:08:03,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Уже уехал,"Германия, Нидерланды",,(другая страна),(Другое),24-26,Пара без детей
8/4/2016 14:08:14,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"(Евросоюз в целом), (Азия: Сингапур, Таиланд, Китай, и др.), (Прибалтика: Литва, Латвия, Эстония)","(Готов ехать куда угодно, если остальные условия устраивают)",Харьков,(Другое),32 или больше,Пара без детей
8/4/2016 14:09:55,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, США, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),Программист,32 или больше,Пара с детьми
8/4/2016 14:10:44,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, США, (Евросоюз в целом)","(Готов ехать куда угодно, если остальные условия устраивают)",Украина (другой город),Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 14:11:15,Хочется чего-то нового и интересного,"Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"(Евросоюз в целом), (Прибалтика: Литва, Латвия, Эстония), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",,Киев,Программист,26-27,"Холост / не замужем, детей нет"
8/4/2016 14:11:41,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного","Количество денег на старте, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд)","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Германия, Нидерланды, Польша","Австралия, Азия, США",Украина (другой город),Программист,32 или больше,Пара с детьми
8/4/2016 14:12:00,Не нравится менталитет соотечественников,"Страна, Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Австралия, Канада, Новая Зеландия","Азия, США",Харьков,Программист,27-29,"Холост / не замужем, детей нет"
8/4/2016 14:12:39,"Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию), Дискриминация","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"Австралия, Канада, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Украина (другой город),QA,24-26,"Холост / не замужем, детей нет"
8/4/2016 14:13:19,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Канада, Нидерланды, США",Азия,Киев,Программист,29-32,Пара без детей
8/4/2016 14:13:22,"Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы",Твердо намерен уехать,Просматриваю вакансии,"Австралия, Канада, США","Великобритания, Евросоюз, Прибалтика",Киев,Тимлид или техлид,27-29,"Холост / не замужем, детей нет"
8/4/2016 14:13:29,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Думаю о переезде, но окончательно пока не определился",Просматриваю вакансии,"Нидерланды, США, (Азия: Сингапур, Таиланд, Китай, и др.)","Великобритания, Восточная Европа (Польша, Болгария, Венгрия и др.), Прибалтика",Украина (другой город),QA,23-24,Пара без детей
8/4/2016 14:13:30,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Насколько интересна вакансия (проект/компания) лично для меня","Готов ехать, если получу хорошее предложение",Просматриваю вакансии,"Канада, (Западная Европа), (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)",Прибалтика,РФ (другой город),Программист,24-26,"Холост / не замужем, детей нет"
8/4/2016 14:13:38,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Возможность получения долгосрочной визы / ВНЖ, Карьерные перспективы",Твердо намерен уехать,"Рассылаю резюме, интервью пока не было","Канада, Нидерланды, Польша","Азия, Прибалтика",Киев,Тимлид или техлид,32 или больше,Пара без детей
8/4/2016 14:13:53,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Возможность получения долгосрочной визы / ВНЖ, Возможность уехать побыстрее",Твердо намерен уехать,Прохожу интервью / жду оффер,"Великобритания, США, (Евросоюз в целом)","Азия, Прибалтика",Москва,Программист,32 или больше,"Холост / не замужем, детей нет"
8/4/2016 14:15:33,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Насколько интересна вакансия (проект/компания) лично для меня, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Прохожу интервью / жду оффер,"Нидерланды, Новая Зеландия, (Скандинавские страны: Швейция, Дания, Норвегия, Финляндия)","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.)",Санкт-Петербург,QA,24-26,Пара без детей
8/4/2016 14:16:11,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться, Хочется чего-то нового и интересного","Страна, Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Возможность получения долгосрочной визы / ВНЖ","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","Австралия, Германия, Нидерланды",Азия,(другая страна),Программист,26-27,"Холост / не замужем, детей нет"
8/4/2016 14:16:16,"Спокойная и безопасная жизнь для меня и семьи, Хочется чего-то нового и интересного, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"Канада, Новая Зеландия, США","Азия, Восточная Европа (Польша, Болгария, Венгрия и др.), Евросоюз",Украина (другой город),Программист,23-24,"Холост / не замужем, детей нет"
8/4/2016 14:19:44,"Хочу работать в лидерах отрасли (Google, Facebook, Uber и пр.), Спокойная и безопасная жизнь для меня и семьи, Возможность безбедной жизни (свой дом, машина, накопления на пенсию)","Страна, Количество денег на старте, Возможность получения долгосрочной визы / ВНЖ",Твердо намерен уехать,Просматриваю вакансии,"Австралия, Канада, США","Азия, Евросоюз",Минск,Тимлид или техлид,26-27,Пара с детьми
8/4/2016 14:19:50,"Спокойная и безопасная жизнь для меня и семьи, Не вижу перспектив оставаться","Условия для релокации (предоставление временного жилья, помощь с релокацией семьи, компенсация расходов на переезд), Насколько интересна вакансия (проект/компания) лично для меня, Карьерные перспективы","Готов ехать, если получу хорошее предложение","Рассылаю резюме, интервью пока не было","США, (Евросоюз в целом), (Азия: Сингапур, Таиланд, Китай, и др.)","(Готов ехать куда угодно, если остальные условия устраивают)",Санкт-Петербург,Программист,27-29,"Холост / не замужем, детей нет"
